"original_samples"	"mjolnir_agnomens"
"Market fish 01"	"MRKT_sample_001"
"Market fish 02"	"MRKT_sample_002"
"Market fish 03"	"MRKT_sample_003"
"Market fish 04"	"MRKT_sample_004"
"Market fish 05"	"MRKT_sample_005"
"Market fish 06"	"MRKT_sample_006"
"Market fish 07"	"MRKT_sample_007"
"Market fish 08"	"MRKT_sample_008"
"Market fish 09"	"MRKT_sample_009"
"Market fish 10"	"MRKT_sample_010"
"Market fish 11"	"MRKT_sample_011"
"Market fish 12"	"MRKT_sample_012"
"Market fish 13"	"MRKT_sample_013"
"Market fish 14"	"MRKT_sample_014"
"Market fish 15"	"MRKT_sample_015"
"Market fish 16"	"MRKT_sample_016"
"Market fish 17"	"MRKT_sample_017"
"Market fish 18"	"MRKT_sample_018"
"Market fish 19"	"MRKT_sample_019"
"Market fish 20"	"MRKT_sample_020"
"Market fish 21"	"MRKT_sample_021"
"Market fish 22"	"MRKT_sample_022"
"Market fish 23"	"MRKT_sample_023"
"Market fish 24"	"MRKT_sample_024"
"Market fish 25"	"MRKT_sample_025"
"Market fish 26"	"MRKT_sample_026"
"Market fish 27"	"MRKT_sample_027"
"Market fish 28"	"MRKT_sample_028"
"Market fish 29"	"MRKT_sample_029"
"Market fish 30"	"MRKT_sample_030"
"Market fish 31"	"MRKT_sample_031"
"Market fish 32"	"MRKT_sample_032"
"Market fish 33"	"MRKT_sample_033"
"Market fish 34"	"MRKT_sample_034"
"Market fish 35"	"MRKT_sample_035"
"Market fish 36"	"MRKT_sample_036"
"Market fish 37"	"MRKT_sample_037"
"Market fish 38"	"MRKT_sample_038"
"Market fish 39"	"MRKT_sample_039"
"Market fish 40"	"MRKT_sample_040"
"Market fish 41"	"MRKT_sample_041"
"Market fish 42"	"MRKT_sample_042"
"Market fish 43"	"MRKT_sample_043"
"Market fish 44"	"MRKT_sample_044"
"Market fish 45"	"MRKT_sample_045"
"Market fish 46"	"MRKT_sample_046"
"Market fish 47"	"MRKT_sample_047"
"Market fish 48"	"MRKT_sample_048"
"Market fish 49"	"MRKT_sample_049"
"Market fish 50"	"MRKT_sample_050"
"Market fish 51"	"MRKT_sample_051"
"Market fish 52"	"MRKT_sample_052"
"Market fish 53"	"MRKT_sample_053"
"Market fish 54"	"MRKT_sample_054"
"Market fish 55"	"MRKT_sample_055"
"Market fish 56"	"MRKT_sample_056"
"Market fish 57"	"MRKT_sample_057"
"Market fish 58"	"MRKT_sample_058"
"Market fish 59"	"MRKT_sample_059"
"Market fish 60"	"MRKT_sample_060"
"Market fish 61"	"MRKT_sample_061"
"Market fish 62"	"MRKT_sample_062"
"Market fish 63"	"MRKT_sample_063"
"Market fish 64"	"MRKT_sample_064"
"Market fish 65"	"MRKT_sample_065"
"Market fish 66"	"MRKT_sample_066"
"Market fish 67"	"MRKT_sample_067"
"Market fish 68"	"MRKT_sample_068"
"Market fish 69"	"MRKT_sample_069"
"Market fish 70"	"MRKT_sample_070"
"Market fish 71"	"MRKT_sample_071"
"Market fish 72"	"MRKT_sample_072"
"Market fish 73"	"MRKT_sample_073"
"Market fish 74"	"MRKT_sample_074"
"Market fish 75"	"MRKT_sample_075"
"Market fish 76"	"MRKT_sample_076"
"Market fish 77"	"MRKT_sample_077"
"Market fish 78"	"MRKT_sample_078"
"Market fish 79"	"MRKT_sample_079"
"Market fish 80"	"MRKT_sample_080"
